╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
   820000 |  41431.5 |       7062 |      34906 | 808282 | $ 50 |        2  (4s)
   825000 |  40408.6 |       9062 |      34906 | 813240 | $ 70 |        3  (4s)
   830000 |  39410.9 |      14250 |      34906 | 818203 | $180 |        8  (4s)
   835000 |  38437.8 |       7875 |      34906 | 823161 | $ 20 |        2  (4s)
   840000 |  37488.8 |       7062 |      34906 | 828119 | $  0 |        0  (5s)
   845000 |  36563.2 |       7062 |      34906 | 833065 | $ 40 |        2  (5s)
   850000 |  35660.4 |       7062 |      34906 | 838016 | $ 60 |        4  (5s)
   855000 |  34780.0 |       4000 |      34906 | 842970 | $ 20 |        2  (5s)
   860000 |  33921.3 |       6000 |      34906 | 847928 | $140 |        9  (5s)
   865000 |  33083.7 |       6125 |      34906 | 852872 | $190 |       11  (5s)
   870000 |  32266.9 |       7406 |      34906 | 857835 | $180 |        8  (5s)
   875000 |  31470.2 |       6562 |      34906 | 862780 | $ 10 |        1  (5s)
   880000 |  30693.2 |       8062 |      34906 | 867722 | $ 60 |        4  (5s)
   885000 |  29935.4 |       7312 |      34906 | 872655 | $ 30 |        1  (5s)
   890000 |  29196.3 |       8062 |      34906 | 877592 | $ 70 |        3  (5s)
   895000 |  28475.4 |       4812 |      34906 | 882542 | $ 60 |        4  (5s)
   900000 |  27772.4 |       7062 |      34906 | 887492 | $  0 |        0  (5s)
   905000 |  27086.7 |       8062 |      34906 | 892433 | $ 30 |        1  (5s)
   910000 |  26417.9 |       8468 |      34906 | 897361 | $100 |        5  (5s)
   915000 |  25765.6 |      10000 |      34906 | 902280 | $ 40 |        2  (5s)
   920000 |  25129.5 |       5062 |      34906 | 907224 | $ 30 |        3  (5s)
   925000 |  24509.0 |       7062 |      34906 | 912157 | $  0 |        0  (5s)
   930000 |  23903.9 |       7562 |      34906 | 917097 | $ 90 |        5  (5s)
   935000 |  23313.7 |       7562 |      34906 | 922036 | $ 50 |        3  (5s)
   940000 |  22738.1 |       9312 |      34906 | 926948 | $110 |        6  (5s)
   945000 |  22176.7 |       7062 |      34906 | 931871 | $ 60 |        4  (5s)
   950000 |  21629.1 |       7062 |      34906 | 936792 | $ 40 |        2  (5s)
   955000 |  21095.1 |      10187 |      34906 | 941719 | $180 |       10  (5s)
   960000 |  20574.3 |       4781 |      34906 | 946645 | $ 80 |        7  (5s)
   965000 |  20066.3 |       6875 |      34906 | 951550 | $ 10 |        1  (5s)
   970000 |  19570.8 |      10250 |      34906 | 956446 | $130 |        7  (5s)
   975000 |  19087.6 |       7062 |      34906 | 961361 | $ 60 |        3  (5s)
   980000 |  18616.4 |       7062 |      34906 | 966264 | $  0 |        0  (5s)
   985000 |  18156.7 |       6312 |      34906 | 971161 | $ 80 |        5  (5s)
   990000 |  17708.4 |       5562 |      34906 | 976070 | $160 |        9  (5s)
   995000 |  17271.2 |       7312 |      34906 | 980983 | $150 |        7  (5s)
  1000000 |  16844.8 |       7062 |      34906 | 985898 | $  0 |        0  (5s)
  1005000 |  16428.9 |       6750 |      34906 | 990788 | $ 50 |        3  (5s)
  1010000 |  16023.2 |       4812 |      34906 | 995684 | $ 80 |        4  (5s)
  1015000 |  15627.6 |       7062 |      34906 | 1000590 | $  0 |        0  (5s)
  1020000 |  15241.8 |       7062 |      34906 | 1005497 | $ 30 |        1  (6s)
  1025000 |  14865.5 |       6000 |      34906 | 1010388 | $170 |       10  (6s)
  1030000 |  14498.4 |       7062 |      34906 | 1015278 | $ 10 |        1  (6s)
  1035000 |  14140.5 |      12250 |      34906 | 1020163 | $190 |       11  (6s)
  1040000 |  13791.3 |       5500 |      34906 | 1025052 | $100 |        7  (6s)
  1045000 |  13450.8 |       6750 |      34906 | 1029892 | $ 50 |        4  (6s)
  1050000 |  13118.7 |       5000 |      34906 | 1034758 | $160 |       10  (6s)
  1055000 |  12794.8 |       6000 |      34906 | 1039627 | $110 |        6  (6s)
  1060000 |  12478.9 |       8562 |      34906 | 1044496 | $110 |        5  (6s)
  1065000 |  12170.8 |       3812 |      34906 | 1049353 | $ 70 |        5  (6s)
  1070000 |  11870.3 |       8500 |      34906 | 1054194 | $160 |       10  (6s)
  1075000 |  11577.2 |       5468 |      34906 | 1059054 | $100 |        7  (6s)
  1080000 |  11291.4 |       7062 |      34906 | 1063896 | $ 30 |        3  (6s)
  1085000 |  11012.6 |       9625 |      34906 | 1068746 | $150 |        9  (6s)
  1090000 |  10740.7 |       7062 |      34906 | 1073586 | $  0 |        0  (6s)
  1095000 |  10475.5 |       9781 |      34906 | 1078407 | $190 |       11  (6s)
  1100000 |  10216.9 |       7062 |      34906 | 1083235 | $  0 |        0  (6s)

🔥 RESTART #3 - Reheating! (stuck for 321887 iterations) Temp: 50000.0 (6s)

  1105000 |  49823.1 |       8750 |      34906 | 1088075 | $100 |        5  (6s)
  1110000 |  48592.9 |       9500 |      34906 | 1093046 | $ 80 |        5  (6s)
  1115000 |  47393.2 |       7062 |      34906 | 1098014 | $ 40 |        2  (6s)
  1120000 |  46223.0 |       9562 |      34906 | 1102972 | $180 |        9  (6s)
  1125000 |  45081.8 |      10500 |      34906 | 1107939 | $ 60 |        3  (6s)
  1130000 |  43968.7 |       8000 |      34906 | 1112887 | $ 40 |        3  (6s)
  1135000 |  42883.1 |       7562 |      34906 | 1117840 | $ 70 |        4  (6s)
  1140000 |  41824.3 |       7062 |      34906 | 1122808 | $ 20 |        1  (6s)
  1145000 |  40791.7 |       4250 |      34906 | 1127772 | $190 |       12  (6s)
  1150000 |  39784.5 |      12250 |      34906 | 1132737 | $ 60 |        5  (6s)
  1155000 |  38802.2 |      14062 |      34906 | 1137700 | $ 60 |        4  (6s)
  1160000 |  37844.2 |       7062 |      34906 | 1142655 | $ 10 |        1  (6s)
  1165000 |  36909.8 |      11250 |      34906 | 1147607 | $100 |        5  (6s)
  1170000 |  35998.5 |       7062 |      34906 | 1152562 | $ 50 |        3  (6s)
  1175000 |  35109.7 |      12312 |      34906 | 1157514 | $190 |        8  (6s)
  1180000 |  34242.8 |       8750 |      34906 | 1162464 | $ 80 |        5  (6s)
  1185000 |  33397.4 |       9750 |      34906 | 1167403 | $ 30 |        3  (6s)
  1190000 |  32572.8 |       8062 |      34906 | 1172359 | $ 70 |        4  (6s)
  1195000 |  31768.6 |       8312 |      34906 | 1177307 | $130 |        6  (7s)
  1200000 |  30984.2 |       8062 |      34906 | 1182256 | $ 70 |        3  (7s)
  1205000 |  30219.2 |       8062 |      34906 | 1187197 | $ 30 |        1  (7s)
  1210000 |  29473.1 |      10750 |      34906 | 1192139 | $ 80 |        4  (7s)
  1215000 |  28745.4 |       6875 |      34906 | 1197088 | $ 60 |        3  (7s)
  1220000 |  28035.6 |       4250 |      34906 | 1202023 | $ 60 |        4  (7s)
  1225000 |  27343.4 |       8562 |      34906 | 1206971 | $120 |        5  (7s)
  1230000 |  26668.3 |       7062 |      34906 | 1211898 | $  0 |        0  (7s)
  1235000 |  26009.9 |       8062 |      34906 | 1216833 | $130 |        9  (7s)
  1240000 |  25367.7 |       9062 |      34906 | 1221763 | $ 80 |        5  (7s)
  1245000 |  24741.4 |       6062 |      34906 | 1226684 | $200 |       10  (7s)
  1250000 |  24130.5 |       6000 |      34906 | 1231616 | $100 |        5  (7s)
  1255000 |  23534.7 |       7656 |      34906 | 1236545 | $100 |        5  (7s)
  1260000 |  22953.6 |       7062 |      34906 | 1241480 | $ 40 |        4  (7s)
  1265000 |  22386.9 |       4000 |      34906 | 1246416 | $ 10 |        1  (7s)
  1270000 |  21834.2 |       8062 |      34906 | 1251351 | $ 60 |        3  (7s)
  1275000 |  21295.1 |       7062 |      34906 | 1256281 | $ 30 |        2  (7s)
  1280000 |  20769.3 |       7062 |      34906 | 1261214 | $ 60 |        2  (7s)
  1285000 |  20256.5 |       7062 |      34906 | 1266128 | $ 20 |        1  (7s)
  1290000 |  19756.4 |       7062 |      34906 | 1271058 | $ 20 |        2  (7s)
  1295000 |  19268.6 |      13500 |      34906 | 1275977 | $ 80 |        4  (7s)
  1300000 |  18792.8 |       7562 |      34906 | 1280897 | $ 90 |        3  (7s)
  1305000 |  18328.8 |      10562 |      34906 | 1285798 | $190 |        9  (7s)
  1310000 |  17876.3 |       7812 |      34906 | 1290700 | $120 |        6  (7s)
  1315000 |  17434.9 |       7062 |      34906 | 1295617 | $ 50 |        3  (7s)
  1320000 |  17004.5 |      12250 |      34906 | 1300527 | $160 |        9  (7s)
  1325000 |  16584.6 |      12562 |      34906 | 1305414 | $150 |        6  (7s)
  1330000 |  16175.1 |       7062 |      34906 | 1310314 | $ 20 |        1  (7s)
  1335000 |  15775.8 |       6656 |      34906 | 1315227 | $ 70 |        4  (7s)
  1340000 |  15386.3 |       7062 |      34906 | 1320104 | $ 50 |        3  (7s)
  1345000 |  15006.4 |       8000 |      34906 | 1324999 | $ 10 |        1  (7s)
  1350000 |  14635.9 |       8937 |      34906 | 1329875 | $100 |        6  (7s)
  1355000 |  14274.5 |      10062 |      34906 | 1334734 | $ 80 |        4  (7s)
  1360000 |  13922.1 |       7062 |      34906 | 1339603 | $  0 |        0  (7s)
  1365000 |  13578.3 |       8062 |      34906 | 1344495 | $ 80 |        4  (7s)
  1370000 |  13243.1 |       7062 |      34906 | 1349363 | $ 20 |        1  (8s)
  1375000 |  12916.1 |       5062 |      34906 | 1354215 | $ 10 |        1  (8s)
  1380000 |  12597.2 |       9000 |      34906 | 1359058 | $ 50 |        3  (8s)
  1385000 |  12286.2 |       4062 |      34906 | 1363919 | $ 90 |        5  (8s)
  1390000 |  11982.8 |       4437 |      34906 | 1368763 | $140 |        9  (8s)
