╔════════════════════════════════════════════════╗
║      Optimal Solver - Starting from Scratch    ║
╚════════════════════════════════════════════════╝

Map: starting_simple.txt
Initial Temperature: 100000.0
Cooling Rate: 0.999995
Max Iterations: 100000000
Budget: $200

Grid: 7x5
Found 17 valid command locations:
  [1,0] building (2 floors)
  [2,0] building (2 floors)
  [3,0] building (2 floors)
  [5,0] P (1 floor)
  [2,1] building (2 floors)
  [3,1] P (1 floor)
  [5,1] building (2 floors)
  [1,2] building (2 floors)
  [3,2] building (2 floors)
  [5,2] building (2 floors)
  [2,3] building (2 floors)
  [3,3] building (2 floors)
  [5,3] P (1 floor)
  [1,4] building (2 floors)
  [3,4] building (2 floors)
  [4,4] building (2 floors)
  [5,4] building (2 floors)

Starting from EMPTY grid: Score=7062
Beginning optimization...

Iter      | Temp     | Current    | Best       | Accept | Cost  | Commands
  1080000 |    451.7 |      59375 |      59625 | 883799 | $200 |       10  (5s)
  1085000 |    440.5 |      59125 |      59625 | 886081 | $200 |       10  (5s)
  1090000 |    429.6 |      56750 |      59625 | 888359 | $200 |       10  (5s)
  1095000 |    419.0 |      57406 |      59625 | 890689 | $190 |        9  (5s)
  1100000 |    408.7 |      57500 |      59625 | 892932 | $200 |       10  (6s)
  1105000 |    398.6 |      58468 |      59625 | 895149 | $200 |       10  (6s)
  1110000 |    388.7 |      58468 |      59625 | 897398 | $200 |       10  (6s)
  1115000 |    379.1 |      58500 |      59625 | 899647 | $200 |       10  (6s)
  1120000 |    369.8 |      58500 |      59625 | 901882 | $200 |       10  (6s)
  1125000 |    360.7 |      57250 |      59625 | 904171 | $200 |       10  (6s)
  1130000 |    351.7 |      59375 |      59625 | 906419 | $200 |       10  (6s)
  1135000 |    343.1 |      57250 |      59625 | 908675 | $180 |        8  (6s)
  1140000 |    334.6 |      59375 |      59625 | 910928 | $200 |       10  (6s)
  1145000 |    326.3 |      59375 |      59625 | 913098 | $200 |       10  (6s)
  1150000 |    318.3 |      59375 |      59625 | 915258 | $200 |       10  (6s)
  1155000 |    310.4 |      59000 |      59625 | 917525 | $200 |       10  (6s)
  1160000 |    302.8 |      59375 |      59625 | 919778 | $200 |       10  (6s)
  1165000 |    295.3 |      58500 |      59625 | 922054 | $200 |       10  (6s)
  1170000 |    288.0 |      57250 |      59625 | 924327 | $200 |        9  (6s)
  1175000 |    280.9 |      57500 |      59625 | 926590 | $180 |        8  (6s)
  1180000 |    273.9 |      58000 |      59625 | 928875 | $200 |       10  (6s)
  1185000 |    267.2 |      58468 |      59625 | 931176 | $190 |        9  (6s)
  1190000 |    260.6 |      59375 |      59625 | 933395 | $200 |       10  (6s)
  1195000 |    254.1 |      57250 |      59625 | 935556 | $200 |       10  (6s)
  1200000 |    247.9 |      58500 |      59625 | 937836 | $200 |       10  (6s)
  1205000 |    241.8 |      59625 |      59625 | 940061 | $200 |       10  (6s)
  1210000 |    235.8 |      59625 |      59625 | 942231 | $200 |       10  (6s)
  1215000 |    230.0 |      59625 |      59625 | 944419 | $200 |       10  (6s)
